Applied pressure,Electricity cost,Membrane maintenance cost,Throughput,Operating expenses
11,0.105311291,0.876950404,132,0.007441376
15,0.145390235,0.877278439,276,0.003705321
20.5,0.241365629,0.877646586,456,0.002453974
24.5,0.323426374,0.877997054,624,0.001925358
30,0.367489427,0.878382223,792,0.00157307
36,0.59083737,0.87878598,1032,0.001424054
40,0.732600282,0.879021153,1176,0.001370426
