Applied pressure,Electricity cost,Membrane maintenance cost,Throughput,Operating expenses
3,0.156985775,0.876872827,120,0.008615488
5,0.156747917,0.877146521,228,0.004534625
11.5,0.572106113,0.877374926,468,0.003097182
14.2,0.695732411,0.877596276,600,0.002622214
20.7,1.248453159,0.877851168,900,0.00236256
26,0.67640651,0.878981312,1140,0.001364375
30,1.913085736,0.878277334,1308,0.00213407
