TMP,Permeate flow rate,Permeate Concentration,Salt Rejection,Recovery Rate,CP,TMP Uncertainty,Permeate flow rate Uncertainty,Permeate Concentration Uncertainty,Salt Rejection Uncertainty,Recovery Rate Uncertainty,CP Uncertainty
2.95,5,0,1,0.011363636,-0.731228108,0.176776695,1.25,0.000278866,0.006782945,0.002820475,6.583861925
4.5,9.5,0,1,0.028831563,-0.719724009,0.176776695,1.25,0.000278866,0.00721775,0.003786733,6.865667459
10.5,19.5,0,1,0.036482694,-0.719078233,0.176776695,1.25,0.000278866,0.007126386,0.002354424,6.881486445
13.3,25,0,1,0.055555556,-0.718302072,0.176776695,1.25,0.000278866,0.007126386,0.002899428,6.900499359
19.85,37.5,0,1,0.067873303,-0.725162658,0.176776695,1.25,0.000278866,0.006950426,0.002440603,6.732441784
24.85,47.5,0,1,0.208791209,-0.728420507,0.176776695,1.25,0.000278866,0.006865664,0.010155197,6.652637201
28.85,54.5,0,1,0.0948651,-0.731785244,0.176776695,1.25,0.000278866,0.006782945,0.002570058,6.570214259
